Question,Answer,PicturePath
What is your name?,My name is Chatbot,images/chatbot.jpg
What are the Mandatory Fields for Placement Document?,"Informations like – Company Name, Designation, Date of Joining, and Salary should exactly match with the attached documents in the CMIS portal.",images/Placement Para.png
What is the format for Date in updating Date Of Join of the student in Job?  ,DOJ should be uploaded in the DD/MM/YYYY format in the CMIS portal.,images/No_Pic_Available.png
If the student is placed through consultancy OR the employer name is different from placed company/Sister concern?,"In case of uploaded documents differing from mentioned data of Company Name, especially for sister concern or subordinate company. Please provide the supporting documentation to justify the same or mention the sister company name in the bracket. [Like - ABC Company (XYZ Company)].",images/No_Pic_Available.png
What kind of E-Mail & Mail-ID is approved as placement document?,"Forwarded Mail will only be accepted, only if the received E-Mailis from concerned employer's Mail-ID & It should be in PDF/JPG format. [ Like - Mail from ABC.co.in/.org/.com, Mail To - The Student OR anudip.org].",images/No_Pic_Available.png
What is the authentication mark for hard & soft copy document?,"HR Departments' signature & stamp is required of the concerned employer organization in case of not a forwarded mail [PDF format] OR the line - ""It Is A Computer-Generated Document and Therefore Does Not Require Any Signature"" should be mentioned.",images/No_Pic_Available.png
How to upload bulk placement document?,"For bulk placement in the Jobdrives or Job Fair, we should also provide the respective designation and salary of the selected student which mostly do happen with the placement consultancy beforehand and it also should be attached in the continuation of the placement verification document.",images/No_Pic_Available.png
Document to upload for Self-Placed student?,"In the case of Self-Placed students/Un-organized sector, we should collect the placement details of the student in the letter pad of the organization in case of not having an authentic organization's Mail-ID.
OR
Students' Self-Declaration in handwritten mode to justify the placement status like - the company name, designation, salary & DOJ. That very document should be approved by the respective VP.",images/No_Pic_Available.png
Document to upload for Internship / Contractual / Part-time?,"For internship, contractual, part-time, and any similar mode of placement in which we don't get the required appointment letter. Then a special approval from the respective VP will justify the same for accepting the document. But these norms will be approved for special cases only it should not be taken as a regular practice. [ Like students having only Gate Pass/Employee ID Card etc.].",images/No_Pic_Available.png
Does salary slip is a proper document?,"The Salary Slip in the attached document will be granted if the student's salary, designation and also the DOJ mentioned in the document.",images/No_Pic_Available.png
Why DOJ is not accepted?,The date of issuing appointment/offer letter or any similar document and mail received date will   not be considered as DOJ. DOJ should be mentioned in the offered document separately.,images/No_Pic_Available.png
